measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904656496,LYING,0.0,0.56,-0.92,1.46,-0.06,2.14,0.21,147.95,-23.16
1,alex,1683904656520,LYING,0.01,0.55,-0.91,0.85,1.04,2.38,0.12,148.02,-23.21
2,alex,1683904656544,LYING,0.0,0.54,-0.9,-0.67,0.67,1.53,0.04,148.04,-23.25
3,alex,1683904656567,LYING,0.0,0.54,-0.9,-0.67,0.67,1.53,0.04,148.04,-23.25
4,alex,1683904656588,LYING,0.0,0.54,-0.91,-1.71,0.37,-0.43,0.05,148.02,-23.24
5,alex,1683904656610,LYING,-0.01,0.54,-0.91,-2.2,0.24,-1.46,0.09,147.99,-23.18
6,alex,1683904656632,LYING,-0.01,0.54,-0.91,-2.2,0.24,-1.46,0.09,147.99,-23.18
7,alex,1683904656654,LYING,-0.02,0.55,-0.91,-1.53,0.92,-1.83,0.12,147.95,-23.1
8,alex,1683904656678,LYING,-0.02,0.55,-0.91,-1.53,0.92,-1.83,0.12,147.95,-23.1
9,alex,1683904656699,LYING,-0.02,0.56,-0.91,-1.34,1.34,-0.92,0.12,147.91,-23.05
10,alex,1683904656719,LYING,-0.02,0.56,-0.92,-0.55,1.4,-0.43,0.11,147.9,-23.01
11,alex,1683904656744,LYING,-0.02,0.55,-0.91,1.77,1.95,-0.43,0.11,147.9,-23.01
12,alex,1683904656769,LYING,-0.02,0.55,-0.91,1.77,1.95,-0.43,0.1,148.0,-22.95
13,alex,1683904656791,LYING,-0.02,0.55,-0.91,1.77,1.95,-0.43,0.1,148.0,-22.95
14,alex,1683904656811,LYING,-0.02,0.55,-0.9,0.98,2.2,-0.24,0.06,148.06,-22.9
15,alex,1683904656836,LYING,-0.01,0.54,-0.91,1.59,1.77,-0.61,0.03,148.14,-22.84
16,alex,1683904656858,LYING,-0.0,0.54,-0.91,1.59,1.77,-0.61,0.03,148.14,-22.84
17,alex,1683904656881,LYING,-0.0,0.54,-0.91,0.85,1.28,-0.61,0.01,148.22,-22.79
18,alex,1683904656906,LYING,-0.0,0.54,-0.91,-0.85,1.16,0.0,-0.04,148.22,-22.76
19,alex,1683904656931,LYING,-0.0,0.54,-0.91,-0.85,1.16,0.0,-0.04,148.22,-22.76
20,alex,1683904656951,LYING,-0.0,0.54,-0.91,-2.2,0.98,0.37,-0.08,148.17,-22.75
21,alex,1683904656973,LYING,0.0,0.54,-0.92,-2.2,0.98,0.37,-0.08,148.17,-22.75
