measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683881917211,STANDING,0.12,0.95,0.3,-0.55,2.01,1.59,-5.98,72.14,18.51
1,micha,1683881917234,STANDING,0.12,0.94,0.3,-1.59,3.6,2.14,-6.1,72.02,18.77
2,micha,1683881917259,STANDING,0.11,0.94,0.28,0.12,1.46,0.31,-6.1,72.06,18.83
3,micha,1683881917279,STANDING,0.11,0.94,0.28,0.12,1.46,0.31,-6.1,72.06,18.83
4,micha,1683881917304,STANDING,0.14,0.94,0.29,0.37,0.67,0.24,-6.18,72.09,18.85
5,micha,1683881917325,STANDING,0.14,0.95,0.29,-0.67,1.89,0.24,-6.23,72.05,18.93
6,micha,1683881917346,STANDING,0.13,0.94,0.29,-0.98,0.67,0.06,-6.26,72.03,18.95
7,micha,1683881917370,STANDING,0.12,0.94,0.29,-1.04,-0.12,-0.85,-6.24,72.03,18.94
8,micha,1683881917392,STANDING,0.12,0.94,0.29,-1.04,-0.12,-0.85,-6.24,72.03,18.94
9,micha,1683881917415,STANDING,0.12,0.94,0.3,-1.71,-0.37,-1.59,-6.21,71.96,18.9
10,micha,1683881917440,STANDING,0.13,0.94,0.29,-1.34,-1.46,-1.77,-6.2,71.95,18.82
11,micha,1683881917462,STANDING,0.13,0.94,0.29,-1.34,-1.46,-1.77,-6.2,71.95,18.82
12,micha,1683881917485,STANDING,0.12,0.95,0.28,-1.65,-1.16,-1.53,-6.17,71.93,18.76
13,micha,1683881917508,STANDING,0.12,0.95,0.27,-1.71,-2.14,-1.71,-6.15,71.91,18.65
14,micha,1683881917530,STANDING,0.12,0.95,0.27,-1.71,-2.14,-1.71,-6.15,71.91,18.65
15,micha,1683881917554,STANDING,0.12,0.94,0.3,-2.99,-0.85,-1.04,-6.14,71.81,18.6
16,micha,1683881917578,STANDING,0.12,0.94,0.28,-1.95,-2.99,-2.2,-6.12,71.81,18.45
17,micha,1683881917601,STANDING,0.12,0.94,0.28,-1.95,-2.99,-2.2,-6.12,71.81,18.45
18,micha,1683881917621,STANDING,0.11,0.95,0.28,-2.2,-1.16,-1.65,-6.09,71.77,18.39
19,micha,1683881917642,STANDING,0.12,0.95,0.29,-2.14,-0.79,-1.34,-6.09,71.77,18.39
20,micha,1683881917665,STANDING,0.12,0.95,0.29,-2.14,-0.79,-1.34,-6.09,71.73,18.34
21,micha,1683881917688,STANDING,0.13,0.94,0.29,-2.62,-0.92,-0.79,-6.13,71.67,18.29
22,micha,1683881917713,STANDING,0.12,0.94,0.28,-2.2,-1.53,-2.14,-6.13,71.67,18.29
23,micha,1683881917734,STANDING,0.12,0.94,0.28,-2.2,-1.53,-2.14,-6.1,71.65,18.2
24,micha,1683881917757,STANDING,0.13,0.94,0.3,-3.36,-0.92,-1.65,-6.1,71.52,18.14
25,micha,1683881917781,STANDING,0.13,0.94,0.3,-3.36,-0.92,-1.65,-6.1,71.52,18.14
26,micha,1683881917806,STANDING,0.12,0.95,0.3,-2.99,-1.04,-1.28,-6.09,71.44,18.1
27,micha,1683881917830,STANDING,0.1,0.93,0.29,-3.11,-0.85,-1.89,-6.02,71.34,18.03
28,micha,1683881917854,STANDING,0.1,0.93,0.29,-3.11,-0.85,-1.89,-6.02,71.34,18.03
29,micha,1683881917879,STANDING,0.12,0.95,0.3,-1.83,0.49,-1.1,-6.01,71.31,18.04
30,micha,1683881917903,STANDING,0.12,0.95,0.3,-1.83,0.49,-1.1,-6.01,71.31,18.04
31,micha,1683881917926,STANDING,0.13,0.94,0.3,-2.2,1.46,-0.55,-6.02,71.23,18.08
32,micha,1683881917949,STANDING,0.14,0.93,0.29,-1.89,-0.18,-0.92,-6.06,71.2,18.06
33,micha,1683881917970,STANDING,0.14,0.93,0.29,-1.89,-0.18,-0.92,-6.06,71.2,18.06
34,micha,1683881917990,STANDING,0.13,0.94,0.29,-1.95,-0.55,-1.46,-6.07,71.18,18.01
35,micha,1683881918013,STANDING,0.12,0.93,0.3,-2.01,-1.04,-2.2,-6.07,71.18,18.01
36,micha,1683881918035,STANDING,0.12,0.93,0.3,-2.01,-1.04,-2.2,-6.02,71.13,17.94
37,micha,1683881918059,STANDING,0.12,0.95,0.3,-2.75,-0.43,-1.89,-5.98,71.06,17.9
38,micha,1683881918083,STANDING,0.12,0.95,0.3,-2.75,-0.43,-1.89,-5.98,71.06,17.9
39,micha,1683881918107,STANDING,0.11,0.94,0.29,-2.62,-0.37,-1.16,-5.95,71.01,17.87
40,micha,1683881918129,STANDING,0.12,0.94,0.31,-2.81,1.04,-1.04,-5.91,70.92,17.9
41,micha,1683881918152,STANDING,0.11,0.94,0.31,-2.2,0.55,-1.46,-5.87,70.86,17.9
42,micha,1683881918176,STANDING,0.11,0.94,0.31,-2.56,1.4,-0.92,-5.84,70.77,17.94
43,micha,1683881918197,STANDING,0.11,0.94,0.31,-2.56,1.4,-0.92,-5.84,70.77,17.94
44,micha,1683881918222,STANDING,0.11,0.94,0.3,-2.5,1.04,-0.85,-5.82,70.72,17.96
45,micha,1683881918247,STANDING,0.12,0.94,0.3,-1.83,0.98,-0.49,-5.82,70.7,17.99
46,micha,1683881918269,STANDING,0.12,0.94,0.3,-1.83,0.98,-0.49,-5.82,70.7,17.99
47,micha,1683881918292,STANDING,0.11,0.93,0.31,-1.77,1.95,0.0,-5.82,70.67,18.06
48,micha,1683881918314,STANDING,0.11,0.93,0.31,-1.77,1.95,0.0,-5.82,70.67,18.06
49,micha,1683881918338,STANDING,0.12,0.94,0.31,-1.83,0.67,-0.73,-5.82,70.64,18.08
50,micha,1683881918362,STANDING,0.13,0.94,0.3,-1.89,0.55,-0.79,-5.84,70.6,18.08
51,micha,1683881918383,STANDING,0.13,0.94,0.3,-1.89,0.55,-0.79,-5.84,70.6,18.08
52,micha,1683881918408,STANDING,0.11,0.94,0.3,-2.01,0.67,-0.98,-5.82,70.57,18.08
53,micha,1683881918433,STANDING,0.12,0.94,0.3,-1.89,-0.73,-1.34,-5.82,70.56,18.03
54,micha,1683881918454,STANDING,0.12,0.94,0.3,-1.89,-0.73,-1.34,-5.82,70.56,18.03
55,micha,1683881918480,STANDING,0.11,0.94,0.3,-2.32,0.67,-0.61,-5.82,70.52,18.03
56,micha,1683881918501,STANDING,0.11,0.94,0.29,-1.71,-0.37,-1.16,-5.81,70.52,18.0
57,micha,1683881918524,STANDING,0.11,0.94,0.29,-1.71,-0.37,-1.16,-5.81,70.52,18.0
58,micha,1683881918547,STANDING,0.11,0.94,0.31,-2.08,0.37,-0.92,-5.79,70.49,17.99
59,micha,1683881918572,STANDING,0.12,0.94,0.3,-2.26,0.06,-0.85,-5.8,70.44,17.98
60,micha,1683881918597,STANDING,0.11,0.94,0.3,-2.44,-0.18,-1.1,-5.78,70.41,17.94
61,micha,1683881918617,STANDING,0.11,0.94,0.3,-2.44,-0.18,-1.1,-5.78,70.41,17.94
62,micha,1683881918642,STANDING,0.12,0.94,0.3,-2.08,-0.49,-0.67,-5.81,70.39,17.91
