measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683883772671,LYING,0.0,-0.03,0.95,-1.46,0.12,-0.61,-1.55,-2.14,-109.49
1,micha,1683883772693,LYING,0.01,-0.03,0.96,-0.92,0.85,0.61,-1.49,-2.18,-109.48
2,micha,1683883772717,LYING,0.01,-0.03,0.96,-1.22,0.55,-0.55,-1.49,-2.18,-109.48
3,micha,1683883772741,LYING,0.01,-0.03,0.96,-1.22,0.55,-0.55,-1.43,-2.21,-109.5
4,micha,1683883772764,LYING,0.01,-0.03,0.96,-1.28,0.31,-0.61,-1.38,-2.24,-109.52
5,micha,1683883772787,LYING,0.01,-0.03,0.96,-1.28,0.31,-0.61,-1.38,-2.24,-109.52
6,micha,1683883772810,LYING,0.01,-0.03,0.96,-1.16,0.12,-0.73,-1.35,-2.25,-109.56
7,micha,1683883772831,LYING,0.01,-0.02,0.96,-1.16,0.12,-0.73,-1.35,-2.25,-109.56
8,micha,1683883772855,LYING,0.01,-0.02,0.96,-1.34,0.0,-0.73,-1.31,-2.29,-109.59
9,micha,1683883772880,LYING,0.01,-0.03,0.96,-1.16,0.12,-0.73,-1.27,-2.31,-109.62
10,micha,1683883772903,LYING,0.01,-0.03,0.96,-1.16,0.12,-0.73,-1.27,-2.31,-109.62
11,micha,1683883772926,LYING,0.01,-0.03,0.96,-1.34,-0.12,-0.79,-1.24,-2.33,-109.65
12,micha,1683883772950,LYING,0.01,-0.03,0.96,-1.34,-0.12,-0.79,-1.24,-2.33,-109.65
13,micha,1683883772973,LYING,0.01,-0.03,0.96,-1.4,0.06,-0.73,-1.21,-2.36,-109.69
14,micha,1683883772996,LYING,0.01,-0.03,0.96,-1.4,0.12,-0.73,-1.18,-2.4,-109.72
15,micha,1683883773019,LYING,0.01,-0.03,0.96,-1.46,0.0,-0.73,-1.16,-2.43,-109.75
16,micha,1683883773042,LYING,0.01,-0.03,0.96,-1.46,0.0,-0.73,-1.16,-2.43,-109.75
17,micha,1683883773065,LYING,0.01,-0.03,0.95,-1.4,0.0,-0.92,-1.13,-2.47,-109.78
18,micha,1683883773090,LYING,0.01,-0.03,0.95,-1.4,0.0,-0.92,-1.13,-2.47,-109.78
19,micha,1683883773112,LYING,0.01,-0.02,0.96,-1.46,-0.12,-0.92,-1.12,-2.5,-109.82
20,micha,1683883773135,LYING,0.01,-0.03,0.96,-1.46,-0.06,-0.92,-1.09,-2.53,-109.86
21,micha,1683883773157,LYING,0.01,-0.03,0.96,-1.46,-0.06,-0.92,-1.09,-2.53,-109.86
22,micha,1683883773182,LYING,0.01,-0.03,0.96,-1.53,0.0,-0.73,-1.07,-2.55,-109.9
23,micha,1683883773207,LYING,0.01,-0.03,0.96,-1.46,0.06,-0.85,-1.07,-2.55,-109.9
24,micha,1683883773231,LYING,0.01,-0.03,0.96,-1.46,0.06,-0.85,-1.05,-2.57,-109.93
25,micha,1683883773255,LYING,0.01,-0.03,0.95,-1.46,0.06,-0.73,-1.03,-2.59,-109.96
26,micha,1683883773280,LYING,0.01,-0.03,0.95,-1.46,0.06,-0.73,-1.03,-2.59,-109.96
27,micha,1683883773304,LYING,0.01,-0.03,0.95,-1.22,0.12,-0.79,-1.01,-2.61,-109.99
28,micha,1683883773327,LYING,0.01,-0.03,0.95,-1.34,0.18,-0.67,-0.97,-2.64,-110.03
29,micha,1683883773347,LYING,0.01,-0.03,0.95,-1.34,0.18,-0.67,-0.97,-2.64,-110.03
30,micha,1683883773372,LYING,0.01,-0.03,0.96,-1.34,0.31,-0.73,-0.95,-2.65,-110.05
31,micha,1683883773396,LYING,0.01,-0.03,0.96,-1.34,0.31,-0.73,-0.95,-2.65,-110.05
32,micha,1683883773420,LYING,0.01,-0.03,0.96,-1.28,0.37,-0.67,-0.94,-2.66,-110.09
33,micha,1683883773441,LYING,0.01,-0.03,0.96,-1.4,0.37,-0.79,-0.92,-2.67,-110.12
34,micha,1683883773463,LYING,0.01,-0.03,0.96,-1.4,0.37,-0.79,-0.92,-2.67,-110.12
35,micha,1683883773484,LYING,0.01,-0.02,0.95,-1.34,0.12,-0.79,-0.91,-2.68,-110.16
36,micha,1683883773507,LYING,0.01,-0.02,0.95,-1.34,0.12,-0.79,-0.91,-2.68,-110.16
37,micha,1683883773530,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.67,-0.89,-2.71,-110.18
38,micha,1683883773553,LYING,0.01,-0.03,0.95,-1.4,0.06,-0.79,-0.88,-2.72,-110.22
39,micha,1683883773576,LYING,0.01,-0.03,0.95,-1.4,0.06,-0.79,-0.88,-2.72,-110.22
40,micha,1683883773600,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.85,-0.88,-2.74,-110.25
41,micha,1683883773625,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.85,-0.88,-2.74,-110.25
42,micha,1683883773646,LYING,0.01,-0.03,0.95,-1.28,0.18,-0.85,-0.87,-2.75,-110.29
43,micha,1683883773667,LYING,0.01,-0.03,0.96,-1.28,0.06,-0.79,-0.86,-2.75,-110.32
44,micha,1683883773691,LYING,0.01,-0.03,0.96,-1.28,0.06,-0.79,-0.86,-2.75,-110.32
45,micha,1683883773716,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.79,-0.85,-2.77,-110.36
46,micha,1683883773739,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.79,-0.85,-2.77,-110.36
47,micha,1683883773762,LYING,0.01,-0.04,0.95,-1.22,0.0,-0.85,-0.82,-2.78,-110.39
48,micha,1683883773785,LYING,0.01,-0.03,0.96,-1.28,0.18,-0.79,-0.81,-2.79,-110.43
49,micha,1683883773807,LYING,0.01,-0.03,0.96,-1.28,0.18,-0.79,-0.81,-2.79,-110.43
50,micha,1683883773832,LYING,0.01,-0.03,0.96,-1.4,0.18,-0.85,-0.8,-2.81,-110.46
51,micha,1683883773854,LYING,0.01,-0.03,0.96,-1.4,0.18,-0.85,-0.8,-2.81,-110.46
52,micha,1683883773875,LYING,0.01,-0.03,0.96,-1.46,0.18,-0.85,-0.79,-2.81,-110.5
