measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683882002867,STANDING,-0.02,0.97,0.25,-0.73,0.24,0.92,0.82,73.38,6.72
1,micha,1683882002890,STANDING,-0.02,0.97,0.25,-0.73,0.24,0.92,0.82,73.38,6.72
2,micha,1683882002913,STANDING,-0.01,0.96,0.25,-0.98,-0.18,0.61,0.78,73.41,6.72
3,micha,1683882002937,STANDING,-0.01,0.95,0.25,-1.1,0.37,0.37,0.76,73.41,6.75
4,micha,1683882002960,STANDING,-0.02,0.96,0.26,-1.28,-0.55,-0.12,0.77,73.44,6.72
5,micha,1683882002983,STANDING,-0.0,0.96,0.25,-1.28,-0.55,-0.12,0.77,73.44,6.72
6,micha,1683882003006,STANDING,-0.0,0.96,0.25,-1.28,-0.61,-0.55,0.75,73.45,6.7
7,micha,1683882003030,STANDING,-0.01,0.95,0.25,-1.28,-0.67,-0.85,0.79,73.44,6.67
8,micha,1683882003050,STANDING,-0.0,0.96,0.25,-1.28,-0.67,-0.85,0.79,73.44,6.67
9,micha,1683882003071,STANDING,-0.0,0.96,0.25,-1.53,-1.1,-1.22,0.8,73.44,6.61
10,micha,1683882003093,STANDING,-0.01,0.96,0.25,-1.65,-0.49,-1.04,0.81,73.43,6.59
11,micha,1683882003116,STANDING,-0.01,0.96,0.25,-1.65,-0.49,-1.04,0.81,73.43,6.59
12,micha,1683882003140,STANDING,-0.0,0.95,0.26,-1.77,0.67,-0.18,0.82,73.39,6.61
13,micha,1683882003163,STANDING,-0.0,0.95,0.26,-1.77,0.67,-0.18,0.82,73.39,6.61
14,micha,1683882003186,STANDING,0.0,0.97,0.26,-1.65,0.49,-0.49,0.82,73.37,6.62
15,micha,1683882003210,STANDING,-0.0,0.96,0.25,-1.34,0.85,0.18,0.81,73.37,6.65
16,micha,1683882003231,STANDING,0.0,0.96,0.26,-1.34,0.85,0.18,0.81,73.37,6.65
17,micha,1683882003256,STANDING,0.0,0.96,0.26,-1.71,-0.06,-1.04,0.82,73.33,6.64
18,micha,1683882003279,STANDING,0.0,0.97,0.26,-1.53,-0.55,-1.34,0.83,73.34,6.61
19,micha,1683882003302,STANDING,0.0,0.97,0.26,-1.53,-0.55,-1.34,0.83,73.34,6.61
20,micha,1683882003326,STANDING,-0.0,0.96,0.27,-1.53,-0.12,-1.04,0.84,73.32,6.59
21,micha,1683882003349,STANDING,-0.01,0.96,0.26,-1.53,-0.12,-1.04,0.84,73.32,6.59
22,micha,1683882003372,STANDING,-0.01,0.96,0.26,-1.77,0.06,-1.16,0.89,73.3,6.58
23,micha,1683882003393,STANDING,-0.01,0.96,0.25,-1.71,0.49,-1.1,0.93,73.3,6.59
24,micha,1683882003416,STANDING,-0.01,0.96,0.25,-1.71,0.49,-1.1,0.93,73.3,6.59
25,micha,1683882003436,STANDING,-0.01,0.96,0.25,-1.83,1.34,-0.43,0.94,73.3,6.64
26,micha,1683882003459,STANDING,-0.0,0.96,0.26,-1.77,1.22,-0.43,0.96,73.28,6.67
27,micha,1683882003480,STANDING,-0.0,0.96,0.26,-1.77,1.22,-0.43,0.96,73.28,6.67
28,micha,1683882003500,STANDING,-0.0,0.96,0.26,-1.4,1.53,-0.31,0.96,73.29,6.73
29,micha,1683882003523,STANDING,-0.01,0.96,0.25,-2.08,1.34,-0.31,0.97,73.28,6.78
30,micha,1683882003548,STANDING,-0.01,0.96,0.26,-1.34,0.43,-0.85,0.98,73.29,6.78
31,micha,1683882003572,STANDING,-0.01,0.96,0.26,-1.34,0.43,-0.85,0.98,73.29,6.78
32,micha,1683882003593,STANDING,-0.0,0.97,0.26,-1.53,0.85,-0.24,0.97,73.28,6.81
33,micha,1683882003617,STANDING,-0.01,0.95,0.26,-1.83,2.32,0.49,0.97,73.25,6.91
34,micha,1683882003640,STANDING,-0.01,0.95,0.26,-1.83,2.32,0.49,0.97,73.25,6.91
35,micha,1683882003660,STANDING,-0.02,0.96,0.25,-1.65,1.53,-0.37,1.0,73.26,6.98
