measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904582808,LYING,0.37,0.47,-0.88,-4.21,5.55,6.59,-21.6,150.62,120.93
1,alex,1683904582828,LYING,0.41,0.47,-0.86,-4.76,5.86,5.68,-21.95,150.49,120.84
2,alex,1683904582853,LYING,0.42,0.47,-0.85,-5.86,7.32,4.58,-22.37,150.27,120.82
3,alex,1683904582876,LYING,0.42,0.47,-0.85,-5.86,7.32,4.58,-22.37,150.27,120.82
4,alex,1683904582901,LYING,0.44,0.48,-0.84,-5.86,7.02,3.72,-22.76,150.03,120.83
5,alex,1683904582923,LYING,0.44,0.48,-0.84,-5.86,7.02,3.72,-22.76,150.03,120.83
6,alex,1683904582946,LYING,0.44,0.47,-0.85,-3.36,5.37,2.93,-23.08,149.9,120.84
7,alex,1683904582969,LYING,0.44,0.47,-0.85,-3.36,5.37,2.93,-23.08,149.9,120.84
8,alex,1683904582993,LYING,0.44,0.49,-0.84,-1.89,4.33,2.14,-23.32,149.83,120.84
9,alex,1683904583015,LYING,0.45,0.48,-0.85,-2.75,2.32,1.71,-23.51,149.73,120.83
10,alex,1683904583038,LYING,0.45,0.48,-0.85,-2.75,2.32,1.71,-23.51,149.73,120.83
11,alex,1683904583059,LYING,0.46,0.47,-0.85,-4.7,0.31,0.79,-23.61,149.59,120.79
12,alex,1683904583084,LYING,0.45,0.47,-0.83,-3.78,-1.59,-0.49,-23.61,149.47,120.76
13,alex,1683904583108,LYING,0.45,0.47,-0.83,-3.78,-1.59,-0.49,-23.61,149.47,120.76
14,alex,1683904583130,LYING,0.45,0.48,-0.84,0.37,-3.97,-1.28,-23.5,149.55,120.71
15,alex,1683904583150,LYING,0.45,0.48,-0.84,0.37,-3.97,-1.28,-23.5,149.55,120.71
16,alex,1683904583173,LYING,0.43,0.46,-0.84,3.78,-4.39,-1.71,-23.32,149.78,120.65
17,alex,1683904583196,LYING,0.43,0.44,-0.87,3.78,-4.39,-1.71,-23.32,149.78,120.65
18,alex,1683904583219,LYING,0.43,0.44,-0.87,3.17,-3.3,-1.65,-23.2,150.03,120.59
19,alex,1683904583242,LYING,0.43,0.43,-0.88,0.0,-3.42,-2.75,-23.04,150.15,120.56
20,alex,1683904583265,LYING,0.43,0.43,-0.88,0.0,-3.42,-2.75,-23.04,150.15,120.56
21,alex,1683904583286,LYING,0.4,0.44,-0.87,-3.3,-2.75,-4.88,-22.83,150.08,120.64
