measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,max,1683882362128,WAVING,-0.36,0.99,0.04,-7.26,-7.45,4.7,22.38,82.92,55.24
1,max,1683882362152,WAVING,-0.33,0.93,0.12,-3.66,-7.02,5.8,21.97,82.65,54.96
2,max,1683882362174,WAVING,-0.33,0.93,0.12,-3.66,-7.02,5.8,21.97,82.65,54.96
3,max,1683882362197,WAVING,-0.29,0.88,0.23,-15.63,0.67,1.83,21.78,81.69,54.88
4,max,1683882362221,WAVING,-0.37,0.9,0.16,-15.63,0.67,1.83,21.78,81.69,54.88
5,max,1683882362241,WAVING,-0.37,0.9,0.16,-12.7,-12.08,-5.55,21.92,80.91,54.25
6,max,1683882362262,WAVING,-0.31,0.96,0.18,-11.17,-12.45,0.98,21.6,80.17,53.77
7,max,1683882362287,WAVING,-0.31,0.96,0.18,-11.17,-12.45,0.98,21.6,80.17,53.77
8,max,1683882362312,WAVING,-0.32,0.92,0.25,-23.44,5.49,7.45,21.24,79.11,54.0
9,max,1683882362333,WAVING,-0.32,0.92,0.25,-23.44,5.49,7.45,21.24,79.11,54.0
10,max,1683882362354,WAVING,-0.34,0.93,0.21,-18.31,14.1,8.3,20.93,78.58,54.65
11,max,1683882362378,WAVING,-0.3,0.91,0.2,-16.36,17.82,16.6,20.3,78.15,55.51
12,max,1683882362402,WAVING,-0.3,0.91,0.2,-16.36,17.82,16.6,20.3,78.15,55.51
13,max,1683882362424,WAVING,-0.25,0.9,0.26,-18.92,25.63,18.01,19.6,77.63,56.68
14,max,1683882362446,WAVING,-0.25,0.9,0.26,-18.92,25.63,18.01,19.6,77.63,56.68
15,max,1683882362470,WAVING,-0.23,0.91,0.21,-15.32,22.83,14.28,18.99,77.34,57.74
16,max,1683882362494,WAVING,-0.25,0.95,0.2,-14.04,14.53,9.52,18.56,77.01,58.42
17,max,1683882362516,WAVING,-0.25,0.95,0.2,-14.04,14.53,9.52,18.56,77.01,58.42
18,max,1683882362540,WAVING,-0.23,0.95,0.2,-15.87,10.8,8.42,18.12,76.57,58.94
19,max,1683882362563,WAVING,-0.22,0.95,0.2,-14.95,14.71,9.46,17.67,76.22,59.64
20,max,1683882362586,WAVING,-0.22,0.95,0.2,-14.95,14.71,9.46,17.67,76.22,59.64
21,max,1683882362607,WAVING,-0.25,0.9,0.23,-10.68,12.15,7.26,17.44,75.95,60.18
22,max,1683882362627,WAVING,-0.25,0.9,0.23,-10.68,12.15,7.26,17.44,75.95,60.18
23,max,1683882362652,WAVING,-0.24,0.92,0.21,-9.22,4.7,2.81,17.23,75.69,60.39
24,max,1683882362674,WAVING,-0.17,0.96,0.19,-8.24,-1.71,-1.16,16.96,75.44,60.33
25,max,1683882362696,WAVING,-0.17,0.99,0.25,-8.24,-1.71,-1.16,16.96,75.44,60.33
26,max,1683882362720,WAVING,-0.17,0.99,0.25,-3.48,-3.97,-3.23,16.75,75.24,60.12
27,max,1683882362742,WAVING,-0.23,0.93,0.23,0.06,-11.23,-5.0,16.7,75.13,59.6
28,max,1683882362763,WAVING,-0.23,0.93,0.23,0.06,-11.23,-5.0,16.7,75.13,59.6
29,max,1683882362787,WAVING,-0.29,0.9,0.23,3.36,-12.7,-9.16,16.97,75.1,59.0
30,max,1683882362807,WAVING,-0.29,0.9,0.23,3.36,-12.7,-9.16,16.97,75.1,59.0
31,max,1683882362830,WAVING,-0.32,0.9,0.24,3.3,-12.21,-9.7,17.37,75.02,58.39
32,max,1683882362854,WAVING,-0.31,0.91,0.23,-2.38,-10.19,-7.2,17.58,74.8,57.92
