measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904546885,STANDING,-0.23,0.9,0.36,0.49,-3.78,-4.64,13.91,65.85,124.88
1,alex,1683904546906,STANDING,-0.23,0.89,0.35,0.61,-2.08,-2.81,13.96,65.95,124.78
2,alex,1683904546930,STANDING,-0.24,0.9,0.34,0.73,-0.79,-1.4,13.99,66.06,124.75
3,alex,1683904546951,STANDING,-0.24,0.9,0.34,0.73,-0.79,-1.4,13.99,66.06,124.75
4,alex,1683904546973,STANDING,-0.22,0.9,0.35,1.83,-0.18,-0.79,13.98,66.23,124.76
5,alex,1683904546995,STANDING,-0.22,0.9,0.35,1.83,-0.18,-0.79,13.98,66.23,124.76
6,alex,1683904547018,STANDING,-0.22,0.9,0.35,2.01,-1.04,-0.18,13.94,66.39,124.74
7,alex,1683904547041,STANDING,-0.22,0.9,0.35,2.5,-2.08,-0.49,13.94,66.39,124.74
8,alex,1683904547061,STANDING,-0.22,0.9,0.35,2.5,-2.08,-0.49,13.88,66.54,124.66
9,alex,1683904547082,STANDING,-0.22,0.9,0.35,2.5,-2.08,-0.49,13.88,66.54,124.66
10,alex,1683904547105,STANDING,-0.21,0.89,0.35,3.72,-2.69,-1.1,13.84,66.73,124.56
11,alex,1683904547126,STANDING,-0.23,0.87,0.35,2.87,-3.72,-1.77,13.86,66.85,124.4
12,alex,1683904547146,STANDING,-0.23,0.87,0.35,2.87,-3.72,-1.77,13.86,66.85,124.4
13,alex,1683904547169,STANDING,-0.25,0.87,0.34,1.22,-2.69,-2.32,13.92,66.9,124.27
14,alex,1683904547189,STANDING,-0.25,0.88,0.34,-0.73,-1.59,-1.77,13.92,66.9,124.27
15,alex,1683904547214,STANDING,-0.25,0.88,0.34,-0.73,-1.59,-1.77,13.99,66.93,124.2
16,alex,1683904547238,STANDING,-0.24,0.89,0.34,-2.08,0.12,-1.16,14.06,66.92,124.21
