measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683884012392,JUMPING,-0.07,1.01,0.23,52.67,-86.24,9.34,2.73,83.04,-60.06
1,micha,1683884012415,JUMPING,0.07,0.44,-0.05,-21.24,-113.89,7.63,1.29,82.33,-64.35
2,micha,1683884012439,JUMPING,0.07,0.44,-0.05,-21.24,-113.89,7.63,1.29,82.33,-64.35
3,micha,1683884012462,JUMPING,0.11,0.04,-0.08,-114.44,-40.71,13.79,-1.24,79.02,-65.66
4,micha,1683884012485,JUMPING,0.11,0.04,-0.08,-114.44,-40.71,13.79,-1.24,79.02,-65.66
5,micha,1683884012508,JUMPING,0.11,-0.16,-0.19,-169.07,31.68,5.49,-1.94,73.49,-64.27
6,micha,1683884012531,JUMPING,-0.05,-0.34,-0.24,18.19,-8.12,16.24,-2.43,75.03,-64.44
7,micha,1683884012555,JUMPING,-0.05,-0.34,-0.24,18.19,-8.12,16.24,-2.43,75.03,-64.44
8,micha,1683884012578,JUMPING,-0.09,-0.18,-0.39,29.17,53.53,14.04,-2.01,77.43,-62.15
9,micha,1683884012598,JUMPING,-0.1,-0.31,0.25,-23.38,52.19,-26.0,-0.09,74.93,-60.52
10,micha,1683884012620,JUMPING,-0.1,-0.31,0.25,-23.38,52.19,-26.0,-0.09,74.93,-60.52
11,micha,1683884012643,JUMPING,0.07,-0.01,0.29,26.92,-36.8,-15.99,-0.57,73.94,-62.18
12,micha,1683884012665,JUMPING,0.07,-0.01,0.29,26.92,-36.8,-15.99,-0.57,73.94,-62.18
13,micha,1683884012688,JUMPING,0.15,0.14,0.06,-17.52,-8.48,-15.01,-1.39,72.65,-62.41
14,micha,1683884012711,JUMPING,0.15,0.14,0.06,-17.52,-8.48,-15.01,-1.39,72.65,-62.41
15,micha,1683884012734,JUMPING,0.02,0.35,0.57,-11.05,-14.95,-26.43,-0.61,70.69,-63.41
16,micha,1683884012758,JUMPING,0.43,5.2,2.15,-303.41,286.62,53.04,2.15,59.75,-53.08
17,micha,1683884012779,JUMPING,0.43,5.2,2.15,-303.41,286.62,53.04,2.15,59.75,-53.08
18,micha,1683884012799,JUMPING,-0.5,1.98,0.7,25.63,22.4,-11.9,3.27,61.61,-52.62
19,micha,1683884012822,JUMPING,-0.5,1.98,0.7,25.63,22.4,-11.9,3.27,61.61,-52.62
20,micha,1683884012845,JUMPING,0.32,3.09,1.12,65.86,-56.7,3.36,1.87,64.27,-54.28
21,micha,1683884012867,JUMPING,0.09,1.99,0.49,51.15,29.91,18.25,1.56,66.92,-52.9
22,micha,1683884012891,JUMPING,0.09,1.99,0.49,51.15,29.91,18.25,1.56,66.92,-52.9
23,micha,1683884012914,JUMPING,-0.41,1.59,-0.0,78.31,19.96,2.93,2.21,70.87,-52.37
24,micha,1683884012939,JUMPING,-0.07,0.82,0.0,119.57,11.41,7.63,2.21,70.87,-52.37
25,micha,1683884012961,JUMPING,-0.07,0.82,0.0,119.57,11.41,7.63,2.18,76.06,-51.62
26,micha,1683884012984,JUMPING,0.0,0.27,0.35,-19.96,-71.41,13.18,0.8,73.47,-54.5
27,micha,1683884013005,JUMPING,0.0,0.27,0.35,-19.96,-71.41,13.18,0.8,73.47,-54.5
28,micha,1683884013028,JUMPING,0.16,-0.06,-0.02,-115.17,-92.1,8.67,-2.71,68.79,-57.64
29,micha,1683884013051,JUMPING,0.16,-0.06,-0.02,-115.17,-92.1,8.67,-2.71,68.79,-57.64
30,micha,1683884013074,JUMPING,0.07,-0.32,-0.27,-137.57,32.71,-20.63,-1.84,64.38,-56.85
31,micha,1683884013094,JUMPING,-0.07,-0.13,-0.19,51.64,-3.11,10.13,-1.71,67.77,-56.75
32,micha,1683884013118,JUMPING,-0.07,-0.13,-0.19,51.64,-3.11,10.13,-1.71,67.77,-56.75
33,micha,1683884013139,JUMPING,-0.05,-0.08,-0.1,21.48,78.86,34.42,-0.81,69.35,-53.15
34,micha,1683884013162,JUMPING,-0.05,-0.08,-0.1,21.48,78.86,34.42,-0.81,69.35,-53.15
35,micha,1683884013186,JUMPING,-0.16,-0.04,0.16,-14.65,54.93,-17.21,2.21,67.3,-51.7
36,micha,1683884013210,JUMPING,0.1,-0.05,0.06,-4.94,-48.34,-27.83,2.21,67.3,-51.7
37,micha,1683884013234,JUMPING,0.1,-0.05,0.06,-4.94,-48.34,-27.83,0.68,65.79,-53.97
38,micha,1683884013257,JUMPING,0.14,-0.1,0.2,35.22,-27.77,-47.42,0.78,65.41,-55.73
39,micha,1683884013280,JUMPING,0.14,-0.1,0.2,35.22,-27.77,-47.42,0.78,65.41,-55.73
40,micha,1683884013305,JUMPING,0.0,0.44,0.44,32.04,-66.04,-60.3,1.9,65.52,-59.13
41,micha,1683884013327,JUMPING,0.65,4.58,2.03,-266.36,194.89,150.27,0.5,55.48,-50.83
