measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,max,1683882715862,LYING,0.45,0.36,-0.88,-1.28,0.0,-0.37,-24.88,155.31,-52.6
1,max,1683882715883,LYING,0.47,0.38,-0.89,-1.46,-0.43,-0.79,-24.88,155.29,-52.6
2,max,1683882715906,LYING,0.47,0.38,-0.89,-1.46,-0.43,-0.79,-24.88,155.29,-52.6
3,max,1683882715931,LYING,0.46,0.38,-0.89,-0.61,0.12,-0.55,-24.9,155.32,-52.6
4,max,1683882715952,LYING,0.46,0.38,-0.89,-0.61,0.12,-0.55,-24.9,155.32,-52.6
5,max,1683882715973,LYING,0.46,0.37,-0.9,-0.79,0.24,-0.49,-24.9,155.37,-52.62
6,max,1683882715998,LYING,0.46,0.36,-0.89,-1.22,-0.73,-0.67,-24.88,155.39,-52.64
7,max,1683882716022,LYING,0.46,0.36,-0.89,-1.22,-0.73,-0.67,-24.88,155.39,-52.64
8,max,1683882716045,LYING,0.46,0.36,-0.9,-1.46,0.49,-0.06,-24.92,155.41,-52.67
9,max,1683882716068,LYING,0.45,0.37,-0.9,-1.16,1.16,-0.24,-24.92,155.41,-52.67
10,max,1683882716092,LYING,0.45,0.37,-0.9,-1.16,1.16,-0.24,-24.95,155.42,-52.66
11,max,1683882716112,LYING,0.45,0.37,-0.89,-1.46,0.18,-0.61,-24.96,155.41,-52.65
12,max,1683882716133,LYING,0.45,0.37,-0.89,-1.46,0.18,-0.61,-24.96,155.41,-52.65
13,max,1683882716156,LYING,0.45,0.37,-0.9,-1.1,0.49,0.12,-24.96,155.43,-52.68
14,max,1683882716179,LYING,0.45,0.37,-0.9,-1.1,0.49,0.12,-24.96,155.43,-52.68
15,max,1683882716202,LYING,0.44,0.38,-0.89,-0.61,0.85,0.12,-25.0,155.48,-52.7
16,max,1683882716223,LYING,0.45,0.36,-0.89,-1.04,1.46,0.49,-25.0,155.48,-52.7
17,max,1683882716246,LYING,0.45,0.36,-0.89,-1.04,1.46,0.49,-25.06,155.51,-52.73
18,max,1683882716267,LYING,0.45,0.37,-0.89,-1.1,2.99,1.1,-25.19,155.54,-52.76
19,max,1683882716289,LYING,0.45,0.37,-0.89,-1.1,2.99,1.1,-25.19,155.54,-52.76
20,max,1683882716314,LYING,0.45,0.37,-0.89,-2.81,0.92,0.37,-25.23,155.51,-52.79
