measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904770308,JUMPING,-0.04,1.7,0.59,52.12,-36.38,36.01,11.69,71.0,104.71
1,alex,1683904770333,JUMPING,0.12,1.17,0.11,58.9,-61.1,28.2,9.13,73.68,102.9
2,alex,1683904770356,JUMPING,-0.02,0.37,-0.08,76.05,8.42,72.75,6.1,77.86,104.3
3,alex,1683904770381,JUMPING,-0.02,0.37,-0.08,76.05,8.42,72.75,6.1,77.86,104.3
4,alex,1683904770405,JUMPING,0.02,0.07,-0.0,6.53,-0.24,85.45,1.86,78.49,104.99
5,alex,1683904770430,JUMPING,-0.12,-0.25,0.01,5.49,18.07,44.56,1.43,78.34,106.0
6,alex,1683904770450,JUMPING,-0.12,-0.25,0.01,5.49,18.07,44.56,1.43,78.34,106.0
7,alex,1683904770471,JUMPING,-0.1,-0.48,-0.04,13.43,-15.69,-10.74,2.38,78.71,105.15
8,alex,1683904770496,JUMPING,-0.1,-0.48,-0.04,13.43,-15.69,-10.74,2.38,78.71,105.15
9,alex,1683904770517,JUMPING,0.08,-0.49,-0.2,18.07,11.6,-40.77,3.7,79.82,105.51
10,alex,1683904770540,JUMPING,-0.02,-0.08,0.08,18.07,11.6,-40.77,3.7,79.82,105.51
11,alex,1683904770565,JUMPING,-0.02,-0.08,0.08,-5.49,71.59,-36.01,6.3,77.73,107.96
12,alex,1683904770589,JUMPING,-0.07,0.05,0.12,-78.74,-2.87,-45.72,8.92,72.84,106.88
13,alex,1683904770613,JUMPING,-0.07,0.05,0.12,-78.74,-2.87,-45.72,8.92,72.84,106.88
14,alex,1683904770635,JUMPING,0.01,0.09,0.1,-51.45,-48.22,-67.57,10.58,69.04,104.01
15,alex,1683904770655,JUMPING,0.04,0.43,-0.33,-51.45,-48.22,-67.57,10.58,69.04,104.01
16,alex,1683904770678,JUMPING,0.04,0.43,-0.33,-15.75,-74.22,-91.74,12.65,68.92,100.35
17,alex,1683904770701,JUMPING,-0.83,3.14,0.46,-203.37,-57.86,89.42,10.62,61.3,99.25
18,alex,1683904770721,JUMPING,-0.83,3.14,0.46,-203.37,-57.86,89.42,10.62,61.3,99.25
19,alex,1683904770743,JUMPING,-0.14,0.27,1.31,-87.52,-17.09,-64.03,12.11,55.9,97.23
20,alex,1683904770765,JUMPING,-0.14,0.27,1.31,-87.52,-17.09,-64.03,12.11,55.9,97.23
21,alex,1683904770790,JUMPING,-0.19,1.43,1.63,-8.3,-11.54,-45.65,13.03,54.87,95.55
22,alex,1683904770811,JUMPING,-0.83,2.0,0.13,-73.18,-57.01,3.11,13.03,54.87,95.55
23,alex,1683904770835,JUMPING,-0.83,2.0,0.13,-73.18,-57.01,3.11,12.07,52.49,93.97
24,alex,1683904770856,JUMPING,-0.66,1.5,0.71,-0.43,-5.98,6.77,12.19,53.17,94.29
25,alex,1683904770877,JUMPING,-0.66,1.5,0.71,-0.43,-5.98,6.77,12.19,53.17,94.29
26,alex,1683904770900,JUMPING,-0.63,1.6,1.0,69.21,71.41,26.0,13.3,56.87,97.55
27,alex,1683904770923,JUMPING,-0.53,1.52,1.21,40.53,32.65,25.88,13.05,58.52,99.0
28,alex,1683904770946,JUMPING,-0.53,1.52,1.21,40.53,32.65,25.88,13.05,58.52,99.0
29,alex,1683904770971,JUMPING,-0.61,1.83,0.45,25.33,-13.73,37.84,11.68,60.3,99.4
30,alex,1683904770991,JUMPING,-0.37,1.87,0.15,47.42,-29.42,40.1,9.7,63.17,99.36
31,alex,1683904771013,JUMPING,-0.37,1.87,0.15,47.42,-29.42,40.1,9.7,63.17,99.36
32,alex,1683904771034,JUMPING,-0.26,1.2,-0.01,113.89,30.52,50.35,8.46,69.16,101.53
33,alex,1683904771057,JUMPING,-0.26,1.2,-0.01,113.89,30.52,50.35,8.46,69.16,101.53
34,alex,1683904771080,JUMPING,-0.04,0.42,0.03,137.02,64.45,75.2,6.1,75.44,104.93
35,alex,1683904771100,JUMPING,0.17,0.09,0.18,10.07,-14.16,79.04,1.23,74.14,104.91
36,alex,1683904771121,JUMPING,0.17,0.09,0.18,10.07,-14.16,79.04,1.23,74.14,104.91
37,alex,1683904771141,JUMPING,0.2,-0.47,0.01,-49.62,-11.78,49.01,-1.47,71.64,105.02
38,alex,1683904771166,JUMPING,0.05,-0.54,-0.22,-49.62,-11.78,49.01,-1.47,71.64,105.02
39,alex,1683904771186,JUMPING,0.05,-0.54,-0.22,8.18,-2.87,2.75,-1.77,72.25,104.95
40,alex,1683904771209,JUMPING,0.07,-0.3,-0.22,28.81,7.63,-30.94,-0.95,74.2,105.06
41,alex,1683904771231,JUMPING,0.07,-0.3,-0.22,28.81,7.63,-30.94,-0.95,74.2,105.06
42,alex,1683904771256,JUMPING,-0.16,-0.07,0.14,-20.51,88.81,-31.92,2.85,71.67,108.08
43,alex,1683904771279,JUMPING,-0.16,-0.07,0.14,-20.51,88.81,-31.92,2.85,71.67,108.08
44,alex,1683904771301,JUMPING,-0.21,0.11,0.03,-42.36,-1.16,-49.26,6.47,70.22,107.12
45,alex,1683904771326,JUMPING,-0.05,0.34,-0.34,-29.05,-77.7,-48.03,7.42,70.75,103.93
