measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683883794463,LYING,0.04,0.0,0.96,-1.22,0.18,-0.67,-2.77,-0.37,164.83
1,micha,1683883794488,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.79,-2.75,-0.4,164.8
2,micha,1683883794509,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.61,-2.73,-0.45,164.76
3,micha,1683883794529,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.61,-2.73,-0.45,164.76
4,micha,1683883794554,LYING,0.04,-0.0,0.96,-1.4,0.18,-0.67,-2.72,-0.49,164.74
5,micha,1683883794579,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.79,-2.69,-0.53,164.7
6,micha,1683883794602,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.79,-2.69,-0.53,164.7
7,micha,1683883794625,LYING,0.04,-0.0,0.95,-1.28,0.24,-0.67,-2.69,-0.57,164.67
8,micha,1683883794648,LYING,0.04,-0.0,0.96,-1.28,0.24,-0.67,-2.69,-0.57,164.67
9,micha,1683883794669,LYING,0.04,-0.0,0.96,-1.34,0.12,-0.79,-2.67,-0.61,164.64
10,micha,1683883794689,LYING,0.04,-0.01,0.96,-1.34,0.12,-0.79,-2.67,-0.61,164.64
11,micha,1683883794713,LYING,0.04,-0.01,0.96,-1.4,0.12,-0.92,-2.66,-0.66,164.6
12,micha,1683883794735,LYING,0.03,-0.0,0.96,-1.34,0.18,-0.73,-2.65,-0.68,164.56
13,micha,1683883794761,LYING,0.03,-0.0,0.96,-1.34,0.18,-0.73,-2.65,-0.68,164.56
14,micha,1683883794782,LYING,0.04,-0.01,0.96,-1.4,0.06,-0.73,-2.64,-0.71,164.53
15,micha,1683883794804,LYING,0.04,-0.0,0.96,-1.4,0.06,-0.73,-2.64,-0.71,164.53
16,micha,1683883794828,LYING,0.04,-0.0,0.96,-1.4,0.12,-0.79,-2.62,-0.73,164.5
17,micha,1683883794852,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.67,-2.6,-0.77,164.48
18,micha,1683883794875,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.67,-2.6,-0.77,164.48
19,micha,1683883794898,LYING,0.04,-0.0,0.95,-1.28,0.12,-0.67,-2.57,-0.81,164.45
20,micha,1683883794921,LYING,0.04,-0.0,0.95,-1.28,0.12,-0.73,-2.55,-0.84,164.42
21,micha,1683883794944,LYING,0.04,-0.0,0.95,-1.28,0.12,-0.73,-2.55,-0.84,164.42
22,micha,1683883794968,LYING,0.04,-0.01,0.96,-1.34,0.24,-0.73,-2.53,-0.86,164.39
23,micha,1683883794992,LYING,0.04,-0.01,0.95,-1.34,0.24,-0.73,-2.53,-0.86,164.39
24,micha,1683883795014,LYING,0.04,-0.01,0.95,-1.4,0.06,-0.79,-2.52,-0.89,164.36
25,micha,1683883795034,LYING,0.04,-0.0,0.95,-1.28,0.18,-0.67,-2.51,-0.91,164.33
26,micha,1683883795057,LYING,0.04,-0.0,0.95,-1.28,0.18,-0.67,-2.51,-0.91,164.33
27,micha,1683883795078,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.79,-2.51,-0.94,164.3
28,micha,1683883795101,LYING,0.04,-0.01,0.96,-1.34,0.18,-0.79,-2.5,-0.96,164.26
29,micha,1683883795124,LYING,0.04,-0.01,0.96,-1.34,0.18,-0.79,-2.5,-0.96,164.26
30,micha,1683883795148,LYING,0.04,0.0,0.96,-1.28,0.24,-0.79,-2.5,-0.99,164.23
31,micha,1683883795170,LYING,0.04,0.0,0.96,-1.28,0.24,-0.79,-2.5,-0.99,164.23
32,micha,1683883795194,LYING,0.04,0.0,0.96,-1.4,0.06,-0.61,-2.49,-1.02,164.21
33,micha,1683883795217,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.92,-2.47,-1.04,164.17
34,micha,1683883795241,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.92,-2.47,-1.04,164.17
35,micha,1683883795266,LYING,0.04,-0.01,0.95,-1.34,0.12,-0.61,-2.46,-1.05,164.15
36,micha,1683883795288,LYING,0.04,-0.0,0.96,-1.34,0.24,-0.67,-2.46,-1.05,164.15
37,micha,1683883795310,LYING,0.04,-0.0,0.96,-1.34,0.24,-0.67,-2.45,-1.07,164.12
38,micha,1683883795332,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.67,-2.44,-1.09,164.09
39,micha,1683883795357,LYING,0.04,0.0,0.95,-1.4,0.12,-0.79,-2.43,-1.11,164.06
40,micha,1683883795377,LYING,0.04,0.0,0.95,-1.4,0.12,-0.79,-2.43,-1.11,164.06
41,micha,1683883795399,LYING,0.04,0.0,0.95,-1.34,0.06,-0.79,-2.42,-1.13,164.03
42,micha,1683883795420,LYING,0.04,0.0,0.95,-1.34,0.06,-0.79,-2.42,-1.13,164.03
43,micha,1683883795444,LYING,0.04,-0.01,0.96,-1.34,0.18,-0.79,-2.41,-1.14,164.0
44,micha,1683883795465,LYING,0.04,-0.0,0.96,-1.34,0.12,-0.92,-2.4,-1.15,163.97
45,micha,1683883795488,LYING,0.04,-0.0,0.96,-1.34,0.12,-0.92,-2.4,-1.15,163.97
46,micha,1683883795509,LYING,0.04,-0.0,0.96,-1.34,0.24,-0.92,-2.39,-1.17,163.94
47,micha,1683883795531,LYING,0.04,-0.0,0.96,-1.34,0.24,-0.92,-2.39,-1.17,163.94
48,micha,1683883795552,LYING,0.04,-0.01,0.96,-1.34,0.06,-0.79,-2.39,-1.18,163.89
49,micha,1683883795576,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.85,-2.39,-1.2,163.86
50,micha,1683883795600,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.85,-2.39,-1.2,163.86
51,micha,1683883795624,LYING,0.04,-0.0,0.95,-1.28,0.18,-0.73,-2.38,-1.22,163.83
52,micha,1683883795647,LYING,0.04,0.0,0.96,-1.4,0.18,-0.79,-2.37,-1.24,163.8
53,micha,1683883795670,LYING,0.04,-0.0,0.95,-1.4,0.18,-0.79,-2.37,-1.24,163.8
54,micha,1683883795693,LYING,0.04,-0.0,0.95,-1.34,0.18,-0.67,-2.37,-1.24,163.77
55,micha,1683883795717,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.85,-2.36,-1.24,163.73
56,micha,1683883795741,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.85,-2.36,-1.24,163.73
57,micha,1683883795761,LYING,0.04,-0.0,0.96,-1.28,0.12,-0.73,-2.35,-1.25,163.71
58,micha,1683883795786,LYING,0.05,-0.0,0.96,-1.4,0.24,-0.73,-2.35,-1.25,163.71
59,micha,1683883795807,LYING,0.05,-0.0,0.96,-1.4,0.24,-0.73,-2.35,-1.27,163.68
60,micha,1683883795832,LYING,0.04,-0.01,0.95,-1.28,0.06,-0.67,-2.34,-1.28,163.66
61,micha,1683883795856,LYING,0.04,-0.01,0.95,-1.28,0.06,-0.67,-2.34,-1.28,163.66
62,micha,1683883795879,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.61,-2.34,-1.29,163.63
63,micha,1683883795902,LYING,0.04,-0.01,0.96,-1.28,0.06,-0.85,-2.34,-1.29,163.63
64,micha,1683883795925,LYING,0.04,-0.01,0.96,-1.28,0.06,-0.85,-2.35,-1.3,163.59
65,micha,1683883795949,LYING,0.04,0.0,0.96,-1.4,0.18,-0.79,-2.34,-1.3,163.55
66,micha,1683883795969,LYING,0.04,-0.01,0.96,-1.4,0.12,-0.61,-2.34,-1.32,163.52
67,micha,1683883795995,LYING,0.04,-0.01,0.96,-1.4,0.12,-0.61,-2.34,-1.32,163.52
68,micha,1683883796018,LYING,0.04,0.0,0.96,-1.22,0.12,-0.73,-2.33,-1.32,163.49
69,micha,1683883796042,LYING,0.05,0.0,0.96,-1.22,0.12,-0.73,-2.33,-1.32,163.49
70,micha,1683883796065,LYING,0.05,0.0,0.96,-1.34,0.12,-0.61,-2.32,-1.33,163.46
71,micha,1683883796088,LYING,0.04,-0.0,0.96,-1.34,0.12,-1.04,-2.31,-1.33,163.42
72,micha,1683883796111,LYING,0.04,-0.0,0.96,-1.34,0.12,-0.67,-2.31,-1.34,163.39
73,micha,1683883796132,LYING,0.04,-0.0,0.96,-1.34,0.12,-0.67,-2.31,-1.34,163.39
74,micha,1683883796157,LYING,0.04,-0.0,0.96,-1.4,0.12,-0.73,-2.3,-1.35,163.36
75,micha,1683883796181,LYING,0.04,-0.0,0.96,-1.4,0.12,-0.73,-2.3,-1.35,163.36
76,micha,1683883796204,LYING,0.04,-0.0,0.96,-1.22,0.18,-0.73,-2.3,-1.34,163.33
77,micha,1683883796227,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.67,-2.3,-1.35,163.3
78,micha,1683883796248,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.67,-2.3,-1.35,163.3
79,micha,1683883796270,LYING,0.05,-0.01,0.95,-1.34,0.12,-0.73,-2.3,-1.35,163.26
80,micha,1683883796294,LYING,0.05,-0.01,0.95,-1.34,0.12,-0.73,-2.3,-1.35,163.26
81,micha,1683883796314,LYING,0.04,-0.01,0.96,-1.34,0.24,-0.85,-2.29,-1.35,163.23
82,micha,1683883796337,LYING,0.04,-0.01,0.96,-1.34,0.24,-0.85,-2.29,-1.35,163.23
83,micha,1683883796361,LYING,0.04,-0.0,0.95,-1.34,0.18,-0.67,-2.29,-1.37,163.19
84,micha,1683883796384,LYING,0.04,-0.0,0.96,-1.28,0.12,-0.61,-2.28,-1.37,163.17
85,micha,1683883796409,LYING,0.04,-0.0,0.96,-1.28,0.12,-0.61,-2.28,-1.37,163.17
86,micha,1683883796431,LYING,0.05,0.0,0.95,-1.34,0.12,-0.61,-2.27,-1.37,163.13
87,micha,1683883796451,LYING,0.05,0.0,0.95,-1.34,0.12,-0.61,-2.27,-1.37,163.13
88,micha,1683883796475,LYING,0.04,-0.0,0.96,-1.4,0.12,-0.79,-2.27,-1.37,163.1
89,micha,1683883796500,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.85,-2.27,-1.38,163.06
90,micha,1683883796521,LYING,0.04,-0.0,0.96,-1.28,0.12,-0.67,-2.27,-1.38,163.03
91,micha,1683883796541,LYING,0.04,-0.0,0.96,-1.28,0.12,-0.67,-2.27,-1.38,163.03
92,micha,1683883796566,LYING,0.04,-0.0,0.96,-1.4,0.0,-0.85,-2.27,-1.38,163.03
93,micha,1683883796587,LYING,0.04,-0.0,0.96,-1.4,0.0,-0.85,-2.27,-1.38,162.99
94,micha,1683883796612,LYING,0.04,-0.0,0.96,-1.34,0.06,-0.79,-2.28,-1.38,162.96
95,micha,1683883796633,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.79,-2.28,-1.39,162.93
96,micha,1683883796658,LYING,0.04,-0.0,0.96,-1.34,0.18,-0.79,-2.28,-1.39,162.93
97,micha,1683883796679,LYING,0.04,-0.0,0.95,-1.4,0.18,-0.73,-2.29,-1.39,162.9
98,micha,1683883796703,LYING,0.04,-0.0,0.96,-1.28,0.06,-0.73,-2.29,-1.4,162.87
99,micha,1683883796729,LYING,0.04,-0.0,0.96,-1.28,0.06,-0.73,-2.29,-1.4,162.87
100,micha,1683883796750,LYING,0.04,-0.0,0.95,-1.34,0.12,-0.79,-2.29,-1.4,162.83
101,micha,1683883796770,LYING,0.04,-0.0,0.96,-1.28,0.18,-0.67,-2.29,-1.4,162.83
102,micha,1683883796795,LYING,0.04,-0.0,0.96,-1.28,0.18,-0.67,-2.29,-1.39,162.81
103,micha,1683883796820,LYING,0.04,-0.01,0.96,-1.34,0.18,-0.73,-2.29,-1.38,162.78
104,micha,1683883796846,LYING,0.04,-0.0,0.96,-1.34,0.06,-0.73,-2.29,-1.39,162.74
