measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904421069,WAVING,-0.1,0.95,0.25,-8.24,6.1,2.32,9.31,72.69,-108.55
1,alex,1683904421092,WAVING,-0.1,0.95,0.25,-8.24,6.1,2.32,9.31,72.69,-108.55
2,alex,1683904421116,WAVING,-0.1,0.96,0.24,-6.9,1.65,-0.55,9.21,72.56,-108.49
3,alex,1683904421141,WAVING,-0.09,0.98,0.22,-1.77,-4.21,-3.54,9.14,72.63,-108.68
4,alex,1683904421164,WAVING,-0.09,0.98,0.22,-1.77,-4.21,-3.54,9.14,72.63,-108.68
5,alex,1683904421188,WAVING,-0.1,0.99,0.24,1.77,-7.63,-6.04,9.13,72.78,-109.03
6,alex,1683904421209,WAVING,-0.1,0.99,0.24,1.77,-7.63,-6.04,9.13,72.78,-109.03
7,alex,1683904421232,WAVING,-0.12,0.97,0.25,5.19,-13.31,-6.96,9.15,73.01,-109.62
8,alex,1683904421255,WAVING,-0.13,0.94,0.25,5.19,-13.31,-6.96,9.15,73.01,-109.62
9,alex,1683904421279,WAVING,-0.13,0.94,0.25,5.98,-14.77,-7.45,9.22,73.21,-110.28
10,alex,1683904421301,WAVING,-0.17,0.94,0.27,6.41,-14.16,-9.34,9.46,73.37,-110.93
11,alex,1683904421322,WAVING,-0.17,0.94,0.27,6.41,-14.16,-9.34,9.46,73.37,-110.93
12,alex,1683904421343,WAVING,-0.21,0.92,0.24,4.21,-14.65,-9.09,9.75,73.48,-111.59
13,alex,1683904421365,WAVING,-0.24,0.94,0.23,4.21,-14.65,-9.09,9.75,73.48,-111.59
14,alex,1683904421388,WAVING,-0.24,0.94,0.23,0.49,-9.52,-6.53,10.06,73.49,-112.0
15,alex,1683904421411,WAVING,-0.26,0.96,0.26,-3.23,1.65,-2.56,10.37,73.4,-111.94
16,alex,1683904421432,WAVING,-0.26,0.96,0.26,-3.23,1.65,-2.56,10.37,73.4,-111.94
17,alex,1683904421453,WAVING,-0.26,0.94,0.26,-2.99,9.4,5.62,10.41,73.39,-111.48
