measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,micha,1683881725575,WAVING,0.08,0.94,0.41,-21.79,58.59,-1.4,-8.11,66.69,-81.28
1,micha,1683881725599,WAVING,0.0,1.09,0.46,-74.83,94.79,45.23,-7.88,63.03,-76.96
2,micha,1683881725619,WAVING,0.14,0.61,0.5,-91.37,98.94,52.61,-7.8,58.42,-72.43
3,micha,1683881725639,WAVING,0.14,0.61,0.5,-91.37,98.94,52.61,-7.8,58.42,-72.43
4,micha,1683881725660,WAVING,0.08,0.77,0.41,98.39,58.96,-2.69,-6.55,62.14,-70.52
5,micha,1683881725681,WAVING,0.08,0.77,0.41,98.39,58.96,-2.69,-6.55,62.14,-70.52
6,micha,1683881725705,WAVING,0.08,0.77,0.41,98.39,58.96,-2.69,-6.55,62.14,-70.52
7,micha,1683881725727,WAVING,0.26,1.08,0.21,-8.3,91.25,37.54,-6.38,61.72,-66.39
8,micha,1683881725747,WAVING,0.17,0.96,0.37,-3.11,83.74,33.63,-6.06,61.64,-62.95
9,micha,1683881725768,WAVING,0.03,0.87,0.36,4.52,62.13,27.95,-6.06,61.64,-62.95
10,micha,1683881725792,WAVING,0.03,0.87,0.36,4.52,62.13,27.95,-5.72,61.68,-60.21
11,micha,1683881725817,WAVING,0.08,0.88,0.34,-8.48,76.29,36.74,-5.53,61.29,-56.85
12,micha,1683881725838,WAVING,0.08,0.88,0.34,-8.48,76.29,36.74,-5.53,61.29,-56.85
13,micha,1683881725863,WAVING,-0.0,0.95,0.35,11.29,57.92,25.7,-5.12,61.89,-54.41
14,micha,1683881725884,WAVING,0.06,0.89,0.43,19.29,41.69,18.13,-5.12,61.89,-54.41
15,micha,1683881725908,WAVING,0.06,0.89,0.43,19.29,41.69,18.13,-4.93,62.56,-52.58
16,micha,1683881725933,WAVING,0.01,1.24,-0.53,-11.23,-5.0,60.91,-6.58,62.8,-53.35
17,micha,1683881725955,WAVING,0.01,1.24,-0.53,-11.23,-5.0,60.91,-6.58,62.8,-53.35
18,micha,1683881725978,WAVING,-0.03,0.98,0.2,19.41,86.91,17.76,-5.29,63.65,-49.94
19,micha,1683881726002,WAVING,0.08,1.05,0.35,19.41,86.91,17.76,-5.29,63.65,-49.94
20,micha,1683881726022,WAVING,0.08,1.05,0.35,0.73,65.43,34.24,-5.3,63.78,-46.94
21,micha,1683881726043,WAVING,0.25,1.03,0.54,56.21,21.12,34.85,-6.56,66.0,-45.71
22,micha,1683881726066,WAVING,0.25,1.03,0.54,56.21,21.12,34.85,-6.56,66.0,-45.71
23,micha,1683881726089,WAVING,0.22,0.9,0.22,75.74,-12.39,68.3,-9.49,69.22,-45.04
24,micha,1683881726112,WAVING,0.1,0.88,-0.07,75.74,-12.39,68.3,-9.49,69.22,-45.04
25,micha,1683881726137,WAVING,0.1,0.88,-0.07,22.58,43.4,39.55,-10.28,70.76,-43.0
26,micha,1683881726161,WAVING,0.02,0.82,0.02,-81.67,68.85,-66.71,-6.37,67.68,-41.63
27,micha,1683881726182,WAVING,0.02,0.82,0.02,-81.67,68.85,-66.71,-6.37,67.68,-41.63
28,micha,1683881726205,WAVING,0.31,1.02,0.79,-59.63,50.29,30.82,-7.16,64.45,-39.25
29,micha,1683881726229,WAVING,0.55,0.85,0.51,-59.63,50.29,30.82,-7.16,64.45,-39.25
30,micha,1683881726252,WAVING,0.55,0.85,0.51,-18.07,3.11,45.59,-9.61,63.27,-38.5
31,micha,1683881726275,WAVING,0.35,0.76,0.43,-13.43,-30.27,29.48,-11.69,62.85,-38.89
32,micha,1683881726299,WAVING,0.35,0.76,0.43,-13.43,-30.27,29.48,-11.69,62.85,-38.89
33,micha,1683881726322,WAVING,0.22,0.78,0.34,-10.56,23.44,5.92,-11.51,62.36,-37.97
34,micha,1683881726344,WAVING,0.3,0.92,0.43,-2.08,13.79,-7.57,-11.17,62.3,-37.65
35,micha,1683881726370,WAVING,0.3,0.92,0.43,-2.08,13.79,-7.57,-11.17,62.3,-37.65
36,micha,1683881726394,WAVING,0.27,0.92,0.44,-1.53,8.12,0.37,-11.17,62.26,-37.35
37,micha,1683881726415,WAVING,0.27,0.92,0.44,-1.53,8.12,0.37,-11.17,62.26,-37.35
38,micha,1683881726438,WAVING,0.21,0.9,0.37,-3.78,13.0,6.53,-11.21,62.22,-36.78
39,micha,1683881726461,WAVING,0.24,0.89,0.35,3.54,17.52,4.46,-11.16,62.45,-36.11
40,micha,1683881726484,WAVING,0.24,0.89,0.35,3.54,17.52,4.46,-11.16,62.45,-36.11
