measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,alex,1683904326770,WAVING,-0.04,0.94,0.37,-2.44,-6.35,-6.9,3.9,66.37,64.28
1,alex,1683904326793,WAVING,-0.04,0.94,0.37,-2.44,-6.35,-6.9,3.9,66.37,64.28
2,alex,1683904326817,WAVING,-0.07,0.95,0.36,-1.28,-5.74,-5.62,4.0,66.42,63.99
3,alex,1683904326839,WAVING,-0.07,0.95,0.36,-1.28,-5.74,-5.62,4.0,66.42,63.99
4,alex,1683904326863,WAVING,-0.09,0.94,0.39,0.61,-0.98,-0.43,4.04,66.49,63.97
5,alex,1683904326886,WAVING,-0.11,0.91,0.38,1.04,3.66,4.21,4.03,66.57,64.19
6,alex,1683904326910,WAVING,-0.11,0.89,0.37,0.18,7.93,5.8,4.02,66.64,64.58
7,alex,1683904326935,WAVING,-0.11,0.89,0.37,0.18,7.93,5.8,4.02,66.64,64.58
8,alex,1683904326955,WAVING,-0.06,0.9,0.34,-1.34,11.66,5.37,4.01,66.68,65.1
9,alex,1683904326976,WAVING,-0.05,0.9,0.34,-2.75,10.56,4.76,3.96,66.71,65.58
10,alex,1683904327000,WAVING,-0.05,0.9,0.34,-2.75,10.56,4.76,3.96,66.71,65.58
11,alex,1683904327023,WAVING,-0.05,0.93,0.31,-5.13,7.81,2.26,3.96,66.7,65.9
12,alex,1683904327044,WAVING,-0.05,0.93,0.31,-5.13,7.81,2.26,3.96,66.7,65.9
13,alex,1683904327064,WAVING,-0.02,0.96,0.32,-2.93,5.31,-1.34,3.99,66.78,66.07
14,alex,1683904327088,WAVING,-0.03,0.97,0.35,-0.61,0.85,-1.89,3.99,66.87,66.07
15,alex,1683904327113,WAVING,-0.03,0.97,0.35,-0.61,0.85,-1.89,3.99,66.87,66.07
16,alex,1683904327135,WAVING,-0.03,0.97,0.35,-0.61,0.85,-1.89,3.99,66.87,66.07
17,alex,1683904327159,WAVING,-0.07,0.91,0.36,1.28,-5.74,-1.71,3.89,67.03,65.68
18,alex,1683904327182,WAVING,-0.07,0.91,0.36,1.28,-5.74,-1.71,3.89,67.03,65.68
19,alex,1683904327206,WAVING,-0.08,0.9,0.38,0.31,-3.54,-2.14,3.95,67.02,65.52
20,alex,1683904327229,WAVING,-0.08,0.9,0.36,-0.37,-1.77,-1.59,3.99,67.0,65.43
21,alex,1683904327250,WAVING,-0.08,0.9,0.36,-0.37,-1.77,-1.59,3.99,67.0,65.43
22,alex,1683904327272,WAVING,-0.08,0.91,0.34,-3.72,-3.17,-1.46,4.02,66.94,65.3
23,alex,1683904327293,WAVING,-0.06,0.92,0.31,-4.33,-3.05,-3.11,4.07,66.9,65.15
24,alex,1683904327314,WAVING,-0.06,0.92,0.31,-4.33,-3.05,-3.11,4.07,66.9,65.15
25,alex,1683904327339,WAVING,-0.06,0.95,0.33,-3.85,-2.5,-5.49,4.22,66.87,64.98
26,alex,1683904327362,WAVING,-0.07,0.95,0.35,-3.6,-3.78,-5.25,4.34,66.81,64.76
27,alex,1683904327386,WAVING,-0.07,0.94,0.36,-4.21,-2.69,-3.36,4.39,66.71,64.62
28,alex,1683904327409,WAVING,-0.07,0.94,0.36,-4.21,-2.69,-3.36,4.39,66.71,64.62
29,alex,1683904327432,WAVING,-0.07,0.94,0.37,-2.32,0.06,0.79,4.34,66.68,64.64
30,alex,1683904327456,WAVING,-0.07,0.94,0.37,-2.32,0.06,0.79,4.34,66.68,64.64
31,alex,1683904327479,WAVING,-0.08,0.92,0.37,-0.49,3.23,4.09,4.24,66.73,64.84
32,alex,1683904327500,WAVING,-0.06,0.89,0.35,-1.95,6.29,5.55,4.11,66.72,65.17
33,alex,1683904327525,WAVING,-0.04,0.9,0.35,-3.54,8.36,4.88,3.97,66.66,65.56
34,alex,1683904327550,WAVING,-0.04,0.9,0.35,-3.54,8.36,4.88,3.97,66.66,65.56
